address,reg_name,bits,field,type,default_value,modify,analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x003F,ANGLE_GRP6_SLOT_NUM,[7:0],ANGLE_GRP6_SLOT_NUM,R/W,8'd0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x0040,ANGLE_GRP7_SLOT_NUM,[7:0],ANGLE_GRP7_SLOT_NUM,R/W,8'd0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x0057,DRV_CHSWTME,[7:0],DRV_CHSWTME,R/W,8'd0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x0058,ANA_MISC_CFG1,[7:5],Rev,R/W,3'd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[4],LASDPW_SW,R/W,1'd1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[3:1],PHASE_DLY_OPT,R/W,3'd0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[0],REFTDC_DLY_EN,R/W,1'd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x0065,PLL0_DIV1,[7],Rev,R/W,1'd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[6:4],PLL0_ID,R/W,3'd3,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[3:2],Rev,R/W,2'd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[1:0],PLL0_OD,R/W,2'd2,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x0066,PLL0_DIV2,[7:0],PLL0_FB,R/W,8'hFA,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x0068,PLL1_DIV1,[7],Rev,R/W,1'd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[6:4],PLL1_ID,R/W,3'd3,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[3:2],Rev,R/W,2'd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[1:0],PLL1_OD,R/W,2'd0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x0069,PLL1_DIV2,[7:0],PLL1_FB,R/W,8'h7D,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x006B,PLL2_DIV1,[7],Rev,R/W,1'd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[6:4],PLL2_ID,R/W,3'd2,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[3:2],Rev,R/W,2'd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[1:0],PLL2_OD,R/W,2'd0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x006C,PLL2_DIV2,[7:0],PLL2_FB,R/W,8'h37,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x0074,MIPIPLL_LPDH,[7:1],Rev,R/W,7'd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[0],NS[8],R/W,1'd0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x0075,MIPIPLL_LPDL,[7:0],NS[7:0],R/W,8'h54,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x0077,MIPIPLL_PPD,[7:5],MS,R/W,3'd2,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[4:0],PS,R/W,5'd1,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x0079,TXESC_CLKDIV1,[7:5],Rev,R/W,3'd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[4:0],TXESC_CLKDIV_CNT,R/W,5'hE,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x007A,TXESC_CLKDIV2,[7:4],Rev,R/W,4'd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[3:0],TXESC_CLKDIV_DTY,R/W,4'd6,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x008D,SEG_NUM,[7:0],SEG_NUM,R/W,8'd0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x008E,HIST_RD_OUT_TIME_L,[7:0],HIST_RD_OUT_TIME[7:0],R/W,8'd0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x008F,HIST_RD_OUT_TIME_H,[7:0],HIST_RD_OUT_TIME[15:8],R/W,8'd0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x00B0,DSP_CFG1,[7:0],OUT_TOTALBIN_NUM,R/W,8'd0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x00B1,DSP_CFG2,[7],Rev,R/W,1'd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[6:0],OUT_ECHOBIN_NUM,R/W,7'd0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x00B2,DSP_CFG3,[7],OUT_OVFL_FLAT_EN,R/W,1'd0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[6],OUT_ECHOBIN_MODE,R/W,1'd0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[5],OUT_NUMBIN_MODE,R/W,1'd0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[4],OUT_FIR_RAW_SEL,R/W,1'd0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[3:1],OUT_ECHO_NUM,R/W,3'd0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[0],OUT_INTF_HIST_SEL,R/W,1'd0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x00B3,DSP_CFG4,[7:4],Rev,R/W,4'd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[3:0],ECHO_ORDER_NEAR_NUM,R/W,4'd0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x00B4,DSP_RGM_CFG1,[7:4],Rev,R/W,4'd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[3:0],FWHM_HALF_COEF,R/W,4'd0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x00B5,DSP_RGM_CFG2,[7:0],DSP_RGM_CFG2,R/W,8'd0,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x00B6,DSP_RGM_CFG3,[7:4],Rev,R/W,4'd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[3:0],FWHM_SEARCH_NUM,R/W,4'd0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x00C6,SPOT_MON_MINBIN_THRS,[7:0],SPOT_MON_MINBIN_THRS,R/W,8'd0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x00C8,UNIQ_FUNC_CFG,[7:2],Rev,R/W,6'd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[1:0],ULR_EN,R/W,2'd0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x00CA,LSPRD_HOP_CFG1,[7],LSPRD_HOP_EN,R/W,1'd0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[6],Rev,R/W,1'd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[5:0],LSPRD_HOP_STEP,R/W,6'd0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x00CB,LSPRD_HOP_CFG2,[7:0],LSPRD_HOP_CNTS,R/W,8'd0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x0104,CSI_CR,[7],BRS,R/W,1'd0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[6],UX,R/W,1'd0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[5],UE,R/W,1'd0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[4],TT,R/W,1'd0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[3],MIPI_CLOCK_MODE,R/W,1'd0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[2],CRCGE,R/W,1'd0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[1],Rev,R/W,1'd0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[0],SR,R/W,1'd0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x0105,CSI_CLWR,[7:6],Rev,R/W,2'd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[5:0],ClockLaneWaitCnt,R/W,6'h10,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x0106,CSI_CLTR,[7:6],Rev,R/W,2'd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[5:0],ClockLaneTrailCnt,R/W,6'h10,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x0107,CSI_DLWR,[7],Rev,R/W,1'd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
